Start_Date,Loan Size,Repayment day,Loan Status,Loan Term,Loan Market,Amount lent,Lender rate (after loan servicing fee),Capital outstanding,Amount repaid,Amount in arrears
13/08/10,2000,13,Closed,36,B,50,0.084,0,57.37,0
14/08/10,5000,14,Closed,36,A*,30,0.067,0,32.01,0
15/08/10,10000,15,Closed,36,A*,30,0.068,0,32.04,0
16/08/10,15000,16,Closed,36,A*,30,0.068,0,32.04,0
17/08/10,20000,17,Closed,36,A*,30,0.067,0,32.01,0
18/08/10,25000,18,Closed,36,A*,100,0.066,0,106.6,0
19/08/10,1000,19,Closed,36,A*,10,0.069,0,11.03529749,0
20/08/10,2000,20,Closed,36,B,10,0.084,0,11.44,0
21/08/10,5000,21,Closed,36,A*,30,0.068,0,32.04,0
21/08/10,10000,21,Closed,36,A*,30,0.069,0,32.07,0
22/08/10,15000,22,Closed,36,A*,30,0.069,0,32.07,0
22/08/10,20000,22,Closed,36,A*,30,0.069,0,32.07,0
24/08/10,25000,24,Closed,36,A*,30,0.068,0,32.04,0
27/08/10,1000,27,Withdrawn,60,A,20,0.081,0.41246831,20.50035758,0
28/08/10,2000,28,Closed,36,A*,30,0.069,0,32.07,0
28/08/10,5000,28,Closed,36,A*,30,0.069,0,32.07,0
29/08/10,10000,29,Closed,36,A*,30,0.069,0,32.07,0
29/08/10,15000,29,Closed,36,A*,30,0.071,0,32.13,0
29/08/10,20000,29,Closed,36,A*,30,0.069,0,32.07,0
29/08/10,25000,29,Closed,36,A*,30,0.071,0,32.13,0
29/08/10,1000,29,Closed,36,A*,30,0.073,0,32.19,0
30/08/10,2000,30,Closed,36,A*,30,0.07,0,32.1,0
31/08/10,5000,31,Closed,36,A*,30,0.07,0,32.1,0
31/08/10,10000,31,Closed,36,A*,30,0.074,0,32.22,0
31/08/10,15000,31,Closed,36,A*,10,0.069,0,11.2,0
01/09/10,20000,1,Withdrawn,60,A*,10,0.096,0.21056655,10.14291856,0
06/09/10,25000,1,Closed,36,B,30,0.084,0,34.33,0
06/09/10,1000,1,Closed,36,A*,30,0.07,0,32.1,0
07/09/10,2000,2,Closed,36,A*,30,0.071,0,32.13,0
07/09/10,5000,2,Closed,36,A*,30,0.069,0,32.07,0
07/09/10,10000,2,Closed,36,A*,30,0.071,0,32.13,0
08/09/10,15000,2,Closed,36,B,10,0.084,0,11,0
08/09/10,20000,2,Closed,36,A*,30,0.069,0,32.07,0
12/09/10,25000,12,Closed,36,A*,30,0.07,0,32.1,0
13/09/10,1000,13,Closed,36,A*,30,0.069,0,32.07,0
14/09/10,2000,14,Closed,36,A*,30,0.07,0,32.1,0
14/09/10,5000,14,Closed,36,B,60,0.084,0,68.63,0
16/09/10,10000,16,Closed,36,A*,30,0.071,0,32.13,0
16/09/10,15000,16,Closed,36,A*,30,0.07,0,32.1,0
19/09/10,20000,19,Closed,36,A*,30,0.07,0,32.1,0
19/09/10,25000,19,Closed,36,A*,30,0.07,0,32.1,0
19/09/10,1000,19,Closed,36,A*,30,0.07,0,32.1,0
19/09/10,2000,19,Closed,36,A*,30,0.07,0,32.1,0
20/09/10,5000,20,Closed,36,A*,30,0.07,0,32.1,0
23/09/10,10000,23,Closed,36,B,10,0.084,0,11.45,0
27/09/10,15000,27,Closed,36,Y,10,0.101,0,11.4,0
05/10/10,20000,1,Arrangement,36,B,20,0.084,0.21,22.78,0.21012348
07/10/10,25000,2,Closed,36,B,100,0.084,0,107.84,0
07/10/10,1000,2,Closed,36,B,30,0.084,0,34.46,0
14/10/10,2000,14,Closed,36,B,10,0.084,0,11.35,0
22/10/10,5000,22,Closed,36,B,10,0.084,0,11.5,0
09/11/10,10000,2,Closed,36,B,10,0.084,0,10.63,0
10/11/10,15000,4,Closed,36,B,50,0.084,0,51.39,0
13/01/11,20000,13,Withdrawn,60,B,10,0.081,1.20713813,9.40921567,0
24/01/11,25000,24,Closed,60,A*,10,0.064,0,10.64,0
26/01/11,1000,26,Withdrawn,60,A*,10,0.063,1.16692044,9.31969615,0
15/02/11,2000,15,Closed,36,A*,300,0.054,0,306.3,0
16/02/11,5000,16,Closed,36,A*,200,0.054,0,220.2,0
16/02/11,10000,16,Closed,36,A*,300,0.054,0,322.72,0
17/02/11,15000,17,Closed,36,A*,10,0.054,0,10.8,0
18/02/11,20000,18,Closed,36,A*,200,0.054,0,220.13,0
22/02/11,25000,22,Closed,36,A*,10,0.054,0,11,0
03/03/11,1000,1,Closed,36,A*,10,0.054,0,11,0
04/03/11,2000,1,Closed,36,A*,80,0.054,0,88.23,0
05/03/11,5000,1,Withdrawn,60,B,10,0.083,1.59839603,8.41495559,0
07/03/11,10000,2,Closed,36,A,10,0.061,0,10.22,0
09/03/11,15000,2,Closed,36,A*,10,0.054,0,10.79,0
17/03/11,20000,17,Closed,36,A*,30,0.054,0,32.18,0
17/03/11,25000,17,Closed,36,A*,10,0.054,0,11.01,0
21/03/11,1000,21,Closed,36,A*,10,0.054,0,11,0
23/03/11,2000,23,Closed,36,C,10,0.089,0,10.83,0
25/03/11,5000,25,Closed,36,A*,30,0.054,0,31.65,0
26/03/11,10000,26,Closed,36,A*,50,0.058,0,52.9,0
28/03/11,15000,28,Closed,36,B,10,0.076,0,10.83,0
29/03/11,20000,29,Closed,36,A*,20,0.054,0,22,0
01/04/11,25000,1,Closed,60,B,10,0.074,0,10.74,0
04/04/11,1000,1,Closed,36,A*,40,0.054,0,42.63,0
05/04/11,2000,1,Closed,36,A*,30,0.054,0,32.55,0
05/04/11,5000,1,Closed,36,A*,30,0.054,0,31.89,0
06/04/11,10000,1,Closed,36,A*,10,0.054,0,11.03,0
18/04/11,15000,18,Closed,36,A*,30,0.054,0,31.4,0
21/04/11,20000,21,Closed,36,A*,10,0.054,0,11,0
28/04/11,25000,28,Closed,36,A*,10,0.054,0,10.21,0
03/05/11,1000,1,Closed,36,A*,10,0.054,0,10.9,0
03/05/11,2000,1,Closed,36,A*,30,0.054,0,32.95,0
04/05/11,5000,1,Closed,36,A*,50,0.054,0,53.37,0
05/05/11,10000,1,Closed,36,A*,10,0.054,0,11.03,0
05/05/11,15000,1,Closed,36,A*,60,0.054,0,65.52,0
09/05/11,20000,2,Closed,36,Y,20,0.087,0,23.1,0
11/05/11,25000,11,Closed,36,A*,10,0.054,0,10.59,0
11/05/11,1000,11,Closed,60,A*,30,0.065,0,31.95,0
16/05/11,2000,16,Closed,36,A*,10,0.054,0,11.01,0
19/05/11,5000,19,Closed,36,A*,30,0.054,0,32.74,0
23/05/11,10000,23,Closed,36,A*,20,0.054,0,21.99,0
25/05/11,15000,25,Closed,36,A*,10,0.054,0,10.73,0
27/05/11,20000,27,Closed,36,A*,30,0.054,0,31.41,0
01/06/11,25000,1,Closed,36,A*,10,0.054,0,10.47,0
02/06/11,1000,1,Closed,36,A*,60,0.054,0,64.1,0
03/06/11,2000,1,Closed,36,A*,10,0.054,0,10.98,0
03/06/11,5000,1,Closed,36,A*,30,0.054,0,30.66,0
08/06/11,10000,2,Closed,36,A*,10,0.054,0,10.53,0
08/06/11,15000,2,Closed,36,A*,30,0.054,0,33.03,0
14/06/11,20000,14,Closed,36,A*,10,0.054,0,11.02,0
16/06/11,25000,16,Closed,36,A*,20,0.054,0,21.39,0
23/06/11,1000,23,Closed,36,A*,20,0.054,0,21.99,0
25/06/11,2000,25,Closed,36,A*,200,0.055,0,211,0
27/06/11,5000,27,Withdrawn,60,A*,30,0.062,6.30847006,23.87028261,0
27/06/11,10000,27,Closed,36,A*,10,0.054,0,11.03,0
27/06/11,15000,27,Closed,36,B,270,0.076,0,306.57,0
30/06/11,20000,30,Closed,36,A*,70,0.054,-0.01006148,73.79006148,0
05/07/11,25000,1,Closed,36,A*,50,0.054,0,55.11,0
05/07/11,1000,1,Closed,36,A*,30,0.054,0,31.74,0
06/07/11,2000,1,Closed,36,A*,40,0.054,0,43.67,0
06/07/11,5000,1,Closed,36,A*,10,0.054,0,10.99,0
07/07/11,10000,2,Closed,36,A*,20,0.054,0,21.99,0
19/07/11,15000,19,Closed,36,A*,10,0.054,0,10.82,0
20/07/11,20000,20,Closed,36,A*,10,0.054,0,10.96,0
26/07/11,25000,26,Closed,36,A*,10,0.054,0,10.29,0
28/07/11,1000,28,Withdrawn,60,A*,30,0.062,6.8661408,23.3251584,0
28/07/11,2000,28,Closed,36,A*,10,0.054,0,10.99,0
01/08/11,5000,1,Withdrawn,60,A*,10,0.064,2.4721675,8.00865194,0
03/08/11,10000,1,Closed,36,A*,90,0.054,0,98.04,0
03/08/11,15000,1,Closed,36,A*,20,0.054,0,21.91,0
11/08/11,20000,11,Closed,36,A*,20,0.054,0,21.58,0
12/08/11,25000,12,Closed,36,A*,10,0.054,0,10.89,0
17/08/11,1000,17,Closed,36,A*,40,0.054,0,44.04,0
23/08/11,2000,23,Closed,36,A*,10,0.054,0,11.02,0
24/08/11,5000,24,Closed,36,A*,30,0.054,0,32.99,0
24/08/11,10000,24,Closed,36,A*,20,0.054,0,21.99,0
01/09/11,15000,1,Closed,36,A*,20,0.054,0,22.01,0
06/09/11,20000,1,Closed,36,A*,20,0.054,0,21.19,0
06/09/11,25000,1,Closed,36,A*,20,0.054,0,22,0
08/09/11,1000,2,Closed,60,A*,10,0.062,0,10.62,0
08/09/11,2000,2,Closed,36,A*,20,0.054,0,20.88,0
12/09/11,5000,12,Closed,36,A*,80,0.054,0,88.25,0
14/09/11,10000,14,Closed,36,A*,10,0.054,0,10.99,0
14/09/11,15000,14,Closed,36,A*,10,0.054,0,11.01,0
16/09/11,20000,16,Closed,36,A*,10,0.054,0,10.98,0
19/09/11,25000,19,Closed,36,A*,10,0.054,0,11.01,0
21/09/11,1000,21,Closed,36,A*,10,0.054,0,10.04,0
23/09/11,2000,23,Closed,36,A*,10,0.054,0,10.88,0
28/09/11,5000,28,Closed,36,A*,10,0.054,0,10.68,0
30/09/11,10000,30,Closed,36,A*,10,0.054,0,10.99,0
30/09/11,15000,30,Closed,60,A*,10,0.061,0,10.61,0
04/10/11,20000,1,Closed,36,A*,20,0.054,0,22,0
04/10/11,25000,1,Closed,36,A*,30,0.054,0,32.74,0
04/10/11,1000,1,Closed,36,A*,20,0.054,0,20.33,0
04/10/11,2000,1,Closed,36,A*,50,0.054,0,53.36,0
10/10/11,5000,4,Closed,36,A*,10,0.054,0,11.02,0
13/10/11,10000,13,Closed,36,A*,20,0.054,0,21.95,0
16/10/11,15000,16,Closed,60,A*,10,0.061,0,10.61,0
18/10/11,20000,18,Closed,36,A*,80,0.054,0,86.38,0
21/10/11,25000,21,Closed,36,A*,40,0.054,0,40.52,0
22/10/11,1000,22,Closed,36,A*,10,0.054,0,10.76,0
19/11/11,2000,19,Closed,60,B,30,0.078,0,32.34,0
02/12/11,5000,1,Withdrawn,60,A*,20,0.058,6.35267807,13.64732193,0
05/12/11,10000,1,Closed,60,A*,10,0.058,0,10.58,0
21/12/11,15000,21,Closed,36,A*,50,0.05,0,52.5,0
28/12/11,20000,28,Closed,36,A*,20,0.053,0,21.06,0
31/12/11,25000,31,Closed,36,A*,300,0.054,0,315.26,0
08/01/12,1000,2,Arrangement,36,A*,130,0.054,21.37792132,122,21.38311615
11/01/12,2000,11,Withdrawn,60,A*,10,0.059,3.1743026,7.34383918,0
14/01/12,5000,14,Withdrawn,60,A*,10,0.058,3.34366761,6.9216995,0
16/01/12,10000,16,Closed,60,B,20,0.084,0,21.68,0
17/01/12,15000,17,Closed,36,A*,100,0.054,0,101.69,0
21/01/12,20000,21,Closed,36,A*,10,0.054,0,10.82,0
23/01/12,25000,23,Closed,36,A*,20,0.054,0,20.73034826,0
24/01/12,1000,24,Closed,60,A*,10,0.062,0,10.62,0
03/02/12,2000,1,Withdrawn,60,A,10,0.063,3.5569237,6.74070085,0
05/02/12,5000,1,Closed,36,A*,190,0.054,0,208.5,0
07/02/12,10000,2,Closed,60,B,10,0.079,0,10.79,0
09/02/12,15000,2,Withdrawn,60,A*,10,0.058,3.52474973,6.58651385,0
13/02/12,20000,13,Closed,36,A*,40,0.054,0,43.86,0
15/02/12,25000,15,Closed,36,A*,10,0.054,0,10.72,0
17/02/12,1000,17,Closed,36,A*,10,0.054,0,11,0
21/02/12,2000,21,Closed,36,A*,10,0.054,0,11.03,0
23/02/12,5000,23,Closed,36,A*,10,0.054,0,10.83,0
01/03/12,10000,1,Closed,36,A*,60,0.054,0,64.18,0
06/03/12,15000,1,Closed,36,A*,20,0.054,0,21.91,0
07/03/12,20000,2,Closed,36,A*,120,0.054,0,132.08,0
08/03/12,25000,2,Withdrawn,60,B,10,0.079,3.82142904,7.19107862,0
12/03/12,1000,12,Closed,60,A*,20,0.059,0,21.18,0
13/03/12,2000,13,Closed,36,A*,10,0.054,0,10.61,0
21/03/12,5000,21,Closed,36,A*,30,0.054,0,30.03,0
24/03/12,10000,24,Closed,36,A*,10,0.054,0,11,0
24/03/12,15000,24,Withdrawn,60,A*,20,0.078,7.61973893,15.20145533,0
27/03/12,20000,27,Closed,36,A*,20,0.054,0,21.68,0
28/03/12,25000,28,Closed,36,A*,10,0.054,0,11.02,0
03/04/12,1000,1,Closed,36,A*,80,0.054,0,88.26,0
03/04/12,2000,1,Closed,36,A*,10,0.054,0,11.02,0
04/04/12,5000,1,Closed,36,A*,20,0.054,0,21.54,0
05/04/12,10000,1,Closed,36,A*,50,0.054,0,55.1,0
06/04/12,15000,1,Closed,36,A*,10,0.054,0,10.59,0
10/04/12,20000,4,Withdrawn,60,A*,200,0.078,79.75405126,144.254834,0
11/04/12,25000,11,Closed,36,A*,20,0.054,0,22.04,0
12/04/12,1000,12,Closed,36,A*,40,0.054,0,42.63,0
12/04/12,2000,12,Closed,36,A*,10,0.054,0,11.02,0
13/04/12,5000,13,Closed,36,A*,50,0.054,0,55.02,0
14/04/12,10000,14,Closed,36,A*,10,0.054,0,11.01,0
18/04/12,15000,18,Closed,36,A*,10,0.054,0,10.95,0
18/04/12,20000,18,Withdrawn,60,A*,10,0.07,3.94407431,6.74434982,0
24/04/12,25000,24,Closed,36,A*,10,0.054,0,10.98,0
25/04/12,1000,25,Closed,36,A*,10,0.054,0,10.71,0
26/04/12,2000,26,Withdrawn,60,A*,10,0.07,3.94106653,6.41093373,0
27/04/12,5000,27,Closed,36,A*,10,0.054,0,10.89,0
30/04/12,10000,30,Closed,36,A*,10,0.054,0,11,0
03/05/12,15000,1,Closed,36,A*,110,0.054,0,121.16,0
03/05/12,20000,1,Closed,36,A*,50,0.054,0,54,0
03/05/12,25000,1,Closed,36,A*,30,0.054,0,32.06,0
05/05/12,1000,1,Closed,36,A*,40,0.054,0,42.39,0
10/05/12,2000,4,Closed,36,A*,10,0.054,0,10.99,0
12/05/12,5000,12,Closed,36,A*,10,0.054,0,10.83,0
14/05/12,10000,14,Closed,36,A*,10,0.054,0,10.93,0
16/05/12,15000,16,Closed,36,A*,10,0.054,0,10.93,0
18/05/12,20000,18,Withdrawn,60,A*,20,0.059,8.1167908,13.09781862,0
21/05/12,25000,21,Closed,36,A*,10,0.054,0,10.47,0
23/05/12,1000,23,Closed,36,A*,10,0.054,0,10.92,0
30/05/12,2000,30,Closed,48,A*,20,0.065,0,21.3,0
30/05/12,5000,30,Closed,24,A*,30,0.054,0,32.06,0
03/06/12,10000,1,Withdrawn,48,A*,10,0.068,0.78737008,9.47950032,0
06/06/12,15000,1,Closed,36,A*,90,0.054,0,97.98,0
09/06/12,20000,2,Withdrawn,60,A*,10,0.068,2.25293074,7.82613569,0
12/06/12,25000,12,Closed,36,A*,70,0.054,0,77.12,0
14/06/12,1000,14,Closed,36,A*,20,0.054,0,20.8,0
16/06/12,2000,16,Withdrawn,60,A*,10,0.065,4.26240335,5.88200437,0
19/06/12,5000,19,Closed,36,A*,10,0.054,0,11,0
24/06/12,10000,24,Withdrawn,48,A*,20,0.065,5.10430446,16.23154248,0
25/06/12,15000,25,Closed,24,A*,10,0.054,0,10.69,0
26/06/12,20000,26,Closed,36,A*,40,0.054,0,43.97,0
28/06/12,25000,28,Closed,36,A*,20,0.054,0,20.91,0
29/06/12,1000,29,Withdrawn,48,A*,20,0.062,5.53441021,14.57752905,0
01/07/12,2000,1,Withdrawn,48,A*,10,0.066,2.55241782,7.99583746,0
02/07/12,5000,1,Closed,60,A,10,0.068,0,10.68,0
02/07/12,10000,1,Closed,36,A*,10,0.054,0,10.1,0
06/07/12,15000,1,Withdrawn,60,A,10,0.064,4.43352251,6.21204023,0
08/07/12,20000,2,Closed,36,A*,30,0.054,0,33.07,0
09/07/12,25000,2,Closed,36,A*,10,0.054,0,10.13,0
15/07/12,1000,15,Closed,24,A*,40,0.054,0,42.74,0
17/07/12,2000,17,Closed,36,A*,120,0.054,0,125.75,0
19/07/12,5000,19,Closed,24,A*,160,0.054,0,170.84,0
20/07/12,10000,20,Closed,36,A*,10,0.054,0,11,0
22/07/12,15000,22,Closed,60,A*,20,0.066,0,21.32,0
25/07/12,20000,25,Closed,24,A*,10,0.054,0,10.11,0
26/07/12,25000,26,Closed,60,A*,10,0.065,0,10.65,0
27/07/12,1000,27,Closed,36,A*,10,0.054,0,10.65,0
30/07/12,2000,30,Closed,60,A*,10,0.066,0,10.66,0
31/07/12,5000,31,Closed,24,A*,10,0.054,0,10.66,0
04/08/12,10000,1,Withdrawn,36,A*,110,0.054,3.33712158,117.96,0
04/08/12,15000,1,Withdrawn,60,A*,50,0.065,12.77546341,43.42810722,0
05/08/12,20000,1,Closed,60,A*,50,0.065,0,53.25,0
05/08/12,25000,1,Withdrawn,60,A*,50,0.065,23.04773254,33.67805257,0
07/08/12,1000,2,Closed,24,A*,10,0.054,0,10.7,0
08/08/12,2000,2,Withdrawn,60,A*,50,0.065,23.04871029,33.67707717,0
08/08/12,5000,2,Withdrawn,36,A*,50,0.054,1.52103652,53.58,0
10/08/12,10000,4,Withdrawn,60,A*,50,0.065,23.03591549,33.68774928,0
10/08/12,15000,4,Withdrawn,60,A*,50,0.065,23.04796967,33.67774928,0
13/08/12,20000,13,Withdrawn,60,A*,50,0.065,23.04828486,33.6774828,0
13/08/12,25000,13,Closed,24,A*,10,0.054,0,10.67,0
16/08/12,1000,16,Withdrawn,60,A*,10,0.065,4.43552395,5.96527577,0
20/08/12,2000,20,Withdrawn,36,A*,30,0.054,0.1223826,31.82,0
22/08/12,5000,22,Withdrawn,60,A*,10,0.062,4.59446061,5.49144158,0
22/08/12,10000,22,Closed,36,A*,20,0.054,0,21.98,0
29/08/12,15000,29,Closed,24,A*,10,0.054,0,10.41,0
30/08/12,20000,30,Withdrawn,60,A*,20,0.033,9.17674964,11.7116957,0
31/08/12,25000,31,Withdrawn,60,A*,10,0.066,4.78187725,5.27979091,0
31/08/12,1000,31,Withdrawn,60,A*,10,0.065,4.77622184,5.60747851,0
31/08/12,2000,31,Withdrawn,36,A*,20,0.054,0.60216458,21.36,0
03/09/12,5000,1,Withdrawn,60,A,10,0.066,4.78541465,5.21458535,0
04/09/12,10000,1,Withdrawn,36,A*,40,0.054,2.42231693,41.68,0
06/09/12,15000,1,Withdrawn,60,A,10,0.067,4.79137103,5.30403011,0
10/09/12,20000,4,Withdrawn,60,A,20,0.069,9.6035446,12.05204191,0
11/09/12,25000,11,Closed,36,A*,240,0.054,0,263.98,0
12/09/12,1000,12,Withdrawn,60,A,10,0.068,4.61904979,5.81085723,0
13/09/12,2000,13,Closed,36,A*,50,0.054,0,53.29,0
15/09/12,5000,15,Closed,48,A*,20,0.066,0,21.32,0
17/09/12,10000,17,Closed,36,A*,10,0.054,0,10.66,0
19/09/12,15000,19,Withdrawn,48,A,10,0.067,3.22240852,7.64848852,0
20/09/12,20000,20,Closed,36,A*,10,0.054,0,10.93,0
21/09/12,25000,21,Closed,60,A*,10,0.066,0,10.66,0
22/09/12,1000,22,Closed,60,A*,10,0.066,0,10.66,0
24/09/12,2000,24,Withdrawn,60,A*,10,0.065,4.78294924,5.60118264,0
24/09/12,5000,24,Withdrawn,36,A*,10,0.054,0.60117387,10.39,0
27/09/12,10000,27,Withdrawn,60,A*,10,0.065,4.95060005,5.44428565,0
30/09/12,15000,30,Closed,36,A*,50,0.054,0,54.69,0
06/10/12,20000,1,Closed,24,A*,300,0.054,0,320.23,0
07/10/12,25000,2,Withdrawn,36,A*,10,0.054,0.90930845,10.11,0
18/10/12,1000,18,Withdrawn,48,A*,70,0.064,24.06093271,52.00023811,0
20/10/12,2000,20,Closed,24,A*,20,0.053,0,21.06,0
25/10/12,5000,25,Withdrawn,60,A*,10,0.061,4.92641558,5.1639871,0
02/11/12,10000,1,Closed,60,A*,10,0.063,0,10.63,0
02/11/12,15000,1,Withdrawn,48,A*,20,0.06,6.84313787,14.34459215,0
07/11/12,20000,2,Closed,48,A*,10,0.062,0,10.62,0
13/11/12,25000,13,Withdrawn,48,A*,10,0.063,3.6484901,6.8642634,0
16/11/12,1000,16,Withdrawn,60,B,10,0.08,5.20228409,5.00310322,0
25/11/12,2000,25,Closed,48,A*,10,0.061,0,10.61,0
25/11/12,5000,25,Withdrawn,48,A*,10,0.062,3.64358725,6.48108832,0
03/12/12,10000,1,Withdrawn,48,A*,10,0.06,3.85586214,6.42767573,0
08/12/12,15000,3,Withdrawn,48,A*,10,0.059,3.85186974,7.01280431,0
23/12/12,20000,23,Withdrawn,60,A*,20,0.059,10.49771827,10.95543588,0
26/12/12,25000,26,Withdrawn,60,A*,10,0.059,5.41645685,4.97529292,0
02/01/13,1000,1,Withdrawn,60,A*,10,0.057,5.40699625,5.55370065,0
02/01/13,2000,1,Closed,60,A*,20,0.058,0,21.16,0
03/01/13,5000,1,Withdrawn,60,A*,10,0.058,5.2482281,4.90969144,0
07/01/13,10000,3,Withdrawn,60,A*,300,0.057,157.1388095,181.98,0
07/01/13,15000,3,Withdrawn,36,A*,190,0.047,33.89975461,172.84,0
09/01/13,20000,3,Withdrawn,48,A*,20,0.057,8.11387212,14.29,0
09/01/13,25000,3,Withdrawn,60,A*,10,0.057,5.41201428,4.68125154,0
11/01/13,1000,11,Withdrawn,60,A*,10,0.058,5.40795927,4.86221024,0
12/01/13,2000,12,Closed,36,A*,10,0.047,0,10.74,0
13/01/13,5000,13,Withdrawn,48,A*,10,,0,10,0
14/01/13,10000,14,Withdrawn,36,A*,10,0.047,1.78593707,9.1,0
15/01/13,15000,15,Closed,48,A*,10,0.057,0,10.57,0
15/01/13,20000,15,Withdrawn,48,A,10,0.062,4.07592257,5.97518681,0
16/01/13,25000,16,Withdrawn,60,A*,10,0.057,5.40198924,5.18490535,0
17/01/13,1000,17,Withdrawn,60,A*,10,0.057,5.40502183,5.45729667,0
17/01/13,2000,17,Withdrawn,60,A*,10,0.057,5.40182719,5.88,0
18/01/13,5000,18,Withdrawn,36,A*,10,0.047,1.78593707,9.1,0
23/01/13,10000,23,Withdrawn,36,A*,20,0.047,3.56510549,18.13,0
27/01/13,15000,27,Withdrawn,60,A*,10,0.058,5.57913106,5.16240214,0
29/01/13,20000,29,Closed,36,A*,10,0.047,0,10.39,0
29/01/13,25000,29,Withdrawn,60,A*,10,0.057,5.45717011,5.32751743,0
